,loss_Gen,loss_Gen_identity,loss_Gen_GAN,loss_Gen_cycle,loss_Disc
0,8.85087577620549,2.3721816415217383,1.5286223545892914,4.950071786766621,0.42083242985962044
1,8.034263845699936,2.064820698837736,1.6171793489536241,4.352263767327835,0.2532168243969999
2,7.2301274982850945,1.751100914691811,1.6084170926417878,3.8706094809432527,0.28356418462553573
3,7.2636269882543765,1.7768565736599822,1.4811657342448163,4.005604672787794,0.2634907522753103
4,6.942840006814074,1.622150357979447,1.435269655131582,3.885419934543211,0.2890300248096238
5,6.516138140834979,1.5988111940782461,1.2233417412238334,3.6939852344456003,0.30604436548788155
6,6.605124605235769,1.6932988104535571,1.213277704680144,3.6985480963294184,0.3361566534349278
7,6.609771984726636,1.7869212120326596,1.1328089648107094,3.6900417893680175,0.38755512760201494
8,6.22535021625348,1.4869125512108874,1.3233235776424408,3.415114098520421,0.28736336540375185
9,6.484840293428791,1.6045859669571492,1.2437625807612689,3.636491747044805,0.32073952580121023
10,6.375375847318279,1.5833606034962098,1.2425407386982619,3.5494745204697793,0.2967964170584038
11,6.0677730147518325,1.5463720444423048,1.25556859896699,3.2658323832412264,0.34974910952706834
12,6.025430899947437,1.4829325355700593,1.2577392034121413,3.2847591211546714,0.3680464038764363
13,5.721338859244959,1.4593244693172511,1.1488635435478012,3.113150843933447,0.34110581252112315
14,6.017331827932329,1.4578178738480183,1.2161984296876993,3.3433155230621794,0.3431940876058678
15,6.537496004531633,1.6519410370001153,1.2946459332953637,3.5909090575887195,0.37926280565226256
16,5.985591457850897,1.460884549724522,1.2501227828993726,3.27458413501284,0.3255153082088748
17,6.03014456336178,1.5162295565676334,1.0650768889420068,3.448838084491331,0.3641398152086272
18,6.117280315996996,1.367987008237127,1.2960246552282304,3.453268624063748,0.26367966694507133
19,5.9177134321696725,1.3476038041399485,1.2805611544580602,3.289548430869828,0.2630958318599124
20,5.869910080041458,1.4066552155053438,1.2717274289522598,3.191527414677748,0.27672261372208595
21,5.023797298545268,1.2049161596084708,1.1299906121705894,2.688890492738183,0.3069097268770435
22,5.087003277308905,1.2742457033982917,1.00856279615146,2.8041947670836946,0.3280180790809108
23,4.590508827522619,1.1572200353465862,0.9539984847182658,2.47929031457474,0.34364169035384906
24,4.609948983832972,1.1611205677487957,0.9379463204696997,2.51088210362107,0.3647091424287255
25,4.738496100724633,1.195599984766832,0.9693109686694927,2.5735850939110145,0.32370565648176775
26,4.513637347007865,1.0839845289045305,1.0198226295300383,2.4098301805667024,0.3072022727843541
27,4.309828907696168,1.0577903416619372,0.906614330277514,2.345424225081259,0.32468399739087517
28,4.20838422917608,1.0224042623790341,0.8667175004731363,2.319262485005962,0.3360277938086595
29,4.416219679277335,1.0434319706105475,1.0514279652887315,2.321359732257786,0.26130669297122244
